GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US06091,"Sierra County, California",3236,377,2615,7,18,7,1,25,186
0500000US06093,"Siskiyou County, California",44076,5527,32057,471,1757,866,38,265,3095
0500000US06095,"Solano County, California",453491,128155,155125,60051,1624,70953,3775,2988,30820
0500000US06097,"Sonoma County, California",488863,141438,285792,7125,3053,22239,1708,2909,24599
0500000US06099,"Stanislaus County, California",552878,265978,207908,14302,2621,33169,3713,2734,22453
0500000US06101,"Sutter County, California",99633,31568,41366,1774,862,18014,279,611,5159
0500000US06103,"Tehama County, California",65829,17938,41340,391,1167,985,96,324,3588
0500000US06105,"Trinity County, California",16112,937,11374,66,416,2212,24,106,977
0500000US06107,"Tulare County, California",473117,309895,125022,5332,3458,15997,511,2132,10770
0500000US06109,"Tuolumne County, California",55620,7124,42254,989,784,770,110,313,3276
0500000US06111,"Ventura County, California",843843,365285,360850,13704,2020,63252,1415,4451,32866
0500000US06113,"Yolo County, California",216403,71700,93911,5722,948,29872,1079,1278,11893
0500000US06115,"Yuba County, California",81575,23520,41750,2831,1034,5583,372,459,6026
0500000US08001,"Adams County, Colorado",519572,216649,239295,16054,2869,22583,753,2369,19000
0500000US08003,"Alamosa County, Colorado",16376,7701,7490,211,215,142,19,104,494
0500000US08005,"Arapahoe County, Colorado",655070,135729,368047,68152,2654,41855,1634,3549,33450
0500000US08007,"Archuleta County, Colorado",13359,2159,10175,41,170,101,6,77,630
0500000US08009,"Baca County, Colorado",3506,346,2916,19,38,8,0,37,142
0500000US08011,"Bent County, Colorado",5650,1760,3315,255,90,39,0,8,183
0500000US08013,"Boulder County, Colorado",330758,48168,245203,3149,1112,16291,241,1820,14774
0500000US08014,"Broomfield County, Colorado",74112,9919,53904,927,197,5096,80,351,3638
0500000US08015,"Chaffee County, Colorado",19476,1841,16195,295,132,133,11,100,769
0500000US08017,"Cheyenne County, Colorado",1748,206,1470,1,5,3,0,3,60
0500000US08019,"Clear Creek County, Colorado",9397,648,8149,49,41,82,7,38,383
0500000US08021,"Conejos County, Colorado",7461,3779,3465,14,44,21,2,24,112
0500000US08023,"Costilla County, Colorado",3499,1988,1234,33,34,55,0,13,142
0500000US08025,"Crowley County, Colorado",5922,1608,3438,510,151,69,2,5,139
0500000US08027,"Custer County, Colorado",4704,178,4212,10,42,22,0,45,195
0500000US08029,"Delta County, Colorado",31196,4329,24907,121,121,236,9,192,1281
0500000US08031,"Denver County, Colorado",715522,199460,388764,61098,3740,27198,1395,3746,30121
0500000US08033,"Dolores County, Colorado",2326,176,1950,18,36,6,4,5,131
0500000US08035,"Douglas County, Colorado",357978,34110,278770,4788,970,19807,290,1551,17692
0500000US08037,"Eagle County, Colorado",55731,16858,36202,296,118,712,27,187,1331
0500000US08039,"Elbert County, Colorado",26062,2067,22185,123,116,184,21,123,1243
0500000US08041,"El Paso County, Colorado",730395,129984,480484,40759,3816,21629,2750,4599,46374
0500000US08043,"Fremont County, Colorado",48939,6049,37713,1809,691,332,30,234,2081
0500000US08045,"Garfield County, Colorado",61685,19564,38636,277,300,397,34,309,2168
0500000US08047,"Gilpin County, Colorado",5808,380,4952,32,36,85,4,37,282
0500000US08049,"Grand County, Colorado",15717,1533,13435,59,56,83,17,73,461
0500000US08051,"Gunnison County, Colorado",16918,1604,14254,77,70,121,7,111,674
0500000US08053,"Hinsdale County, Colorado",788,30,693,8,6,2,1,6,42
0500000US08055,"Huerfano County, Colorado",6820,2130,4231,53,77,24,0,49,256
0500000US08057,"Jackson County, Colorado",1379,138,1161,0,12,2,2,5,59
0500000US08059,"Jefferson County, Colorado",582910,91514,435245,6653,2898,17694,464,2816,25626
0500000US08061,"Kiowa County, Colorado",1446,104,1247,3,0,9,1,1,81
0500000US08063,"Kit Carson County, Colorado",7087,1409,5306,21,24,30,5,32,260
0500000US08065,"Lake County, Colorado",7436,2662,4293,31,46,63,8,45,288
0500000US08067,"La Plata County, Colorado",55638,7008,42392,182,2809,381,33,377,2456
